ngay,tuan,part,nhom,tong,dilam,nguoi_nhap,ts
2026-08-26,W35,INNO,TV,1,1,seed-excel,
2026-09-02,W36,Production,CT,104,94,seed-excel,
2026-09-02,W36,Production,TV,518,441,seed-excel,
2026-09-02,W36,Production,NN,56,56,seed-excel,
2026-09-02,W36,QC,CT,128,115,seed-excel,
2026-09-02,W36,QC,TV,136,115,seed-excel,
2026-09-02,W36,QC,NN,1,1,seed-excel,
2026-09-02,W36,MM,CT,57,52,seed-excel,
2026-09-02,W36,MM,TV,18,14,seed-excel,
2026-09-02,W36,MM,NN,3,3,seed-excel,
2026-09-02,W36,EQM,CT,29,26,seed-excel,
2026-09-02,W36,HR,CT,50,46,seed-excel,
2026-09-02,W36,HR,TV,1,1,seed-excel,
2026-09-02,W36,INNO,CT,8,8,seed-excel,
2026-09-02,W36,INNO,TV,1,1,seed-excel,
2026-09-09,W37,Production,CT,107,99,seed-excel,
2026-09-09,W37,Production,TV,560,477,seed-excel,
2026-09-09,W37,Production,NN,34,34,seed-excel,
2026-09-09,W37,QC,CT,130,122,seed-excel,
2026-09-09,W37,QC,TV,143,127,seed-excel,
2026-09-09,W37,MM,CT,56,54,seed-excel,
2026-09-09,W37,MM,TV,16,14,seed-excel,
2026-09-09,W37,EQM,CT,29,27,seed-excel,
2026-09-09,W37,HR,CT,66,57,seed-excel,
2026-09-09,W37,HR,HN,2,2,seed-excel,
2026-09-09,W37,HR,TV,3,3,seed-excel,
2026-09-09,W37,INNO,CT,8,8,seed-excel,
2026-09-16,W38,Production,CT,110,103,seed-excel,
2026-09-16,W38,Production,TV,567,464,seed-excel,
2026-09-16,W38,Production,NN,8,8,seed-excel,
2026-09-16,W38,QC,CT,130,118,seed-excel,
2026-09-16,W38,QC,TV,144,119,seed-excel,
2026-09-16,W38,MM,CT,58,48,seed-excel,
2026-09-16,W38,MM,TV,14,12,seed-excel,
2026-09-16,W38,EQM,CT,30,29,seed-excel,
2026-09-16,W38,HR,CT,47,45,seed-excel,
2026-09-16,W38,HR,HN,1,1,seed-excel,
2026-09-16,W38,HR,TV,3,3,seed-excel,
2026-09-16,W38,INNO,CT,8,8,seed-excel,
